system:index,CO_density,City,Date,Ward,.geo
00000000000000000030_3,0.03347036052851077,Banglore,01-10-2019,Basavanapura,
00000000000000000030_4,0.03418739837175978,Banglore,01-01-2020,Basavanapura,
00000000000000000030_5,0.03988114936732266,Banglore,01-04-2020,Basavanapura,
00000000000000000030_6,0.024025779446050853,Banglore,01-07-2020,Basavanapura,
00000000000000000030_7,0.033519034589740315,Banglore,01-10-2020,Basavanapura,
00000000000000000031_0,0.03533680379057985,Banglore,01-01-2019,Hudi,
00000000000000000031_1,0.04182104483076397,Banglore,01-04-2019,Hudi,
00000000000000000031_2,0.02397635981428616,Banglore,01-07-2019,Hudi,
00000000000000000031_3,0.033543818833512984,Banglore,01-10-2019,Hudi,
00000000000000000031_4,0.03429800697254481,Banglore,01-01-2020,Hudi,
00000000000000000031_5,0.03983314064223485,Banglore,01-04-2020,Hudi,
00000000000000000031_6,0.02436842134023489,Banglore,01-07-2020,Hudi,
00000000000000000031_7,0.033247219017201395,Banglore,01-10-2020,Hudi,
00000000000000000032_0,0.035560974665279584,Banglore,01-01-2019,Devasandra,
00000000000000000032_1,0.04190039257939203,Banglore,01-04-2019,Devasandra,
00000000000000000032_2,0.023987185251025417,Banglore,01-07-2019,Devasandra,
00000000000000000032_3,0.03378970262942944,Banglore,01-10-2019,Devasandra,
00000000000000000032_4,0.03425442679620727,Banglore,01-01-2020,Devasandra,
00000000000000000032_5,0.03990449964039838,Banglore,01-04-2020,Devasandra,
00000000000000000032_6,0.02389393411510385,Banglore,01-07-2020,Devasandra,
00000000000000000032_7,0.033816025559356366,Banglore,01-10-2020,Devasandra,
00000000000000000033_0,0.03575986933670501,Banglore,01-01-2019,A Narayanapura,
00000000000000000033_1,0.042300655514190426,Banglore,01-04-2019,A Narayanapura,
00000000000000000033_2,0.023975494272019605,Banglore,01-07-2019,A Narayanapura,
00000000000000000033_3,0.03399673623119618,Banglore,01-10-2019,A Narayanapura,
00000000000000000033_4,0.034444116110255406,Banglore,01-01-2020,A Narayanapura,
00000000000000000033_5,0.039772800978970436,Banglore,01-04-2020,A Narayanapura,
00000000000000000033_6,0.0239879779907645,Banglore,01-07-2020,A Narayanapura,
00000000000000000033_7,0.03383725575746081,Banglore,01-10-2020,A Narayanapura,
00000000000000000034_0,0.0356070072078514,Banglore,01-01-2019,Vijnana Nagar,
00000000000000000034_1,0.04193870277740661,Banglore,01-04-2019,Vijnana Nagar,
00000000000000000034_2,0.02360000058193311,Banglore,01-07-2019,Vijnana Nagar,
00000000000000000034_3,0.034034399415025104,Banglore,01-10-2019,Vijnana Nagar,
00000000000000000034_4,0.034246890055459125,Banglore,01-01-2020,Vijnana Nagar,
00000000000000000034_5,0.03976739392905159,Banglore,01-04-2020,Vijnana Nagar,
00000000000000000034_6,0.02401631514248844,Banglore,01-07-2020,Vijnana Nagar,
00000000000000000034_7,0.03403780520650862,Banglore,01-10-2020,Vijnana Nagar,
00000000000000000035_0,0.03573186563687448,Banglore,01-01-2019,HAL Airport,
00000000000000000035_1,0.041790260564845964,Banglore,01-04-2019,HAL Airport,
00000000000000000035_2,0.02343672007404827,Banglore,01-07-2019,HAL Airport,
00000000000000000035_3,0.03426469623478464,Banglore,01-10-2019,HAL Airport,
00000000000000000035_4,0.03450197043767053,Banglore,01-01-2020,HAL Airport,
00000000000000000035_5,0.039854810339392845,Banglore,01-04-2020,HAL Airport,
00000000000000000035_6,0.02416008411390813,Banglore,01-07-2020,HAL Airport,
00000000000000000035_7,0.034315840473814814,Banglore,01-10-2020,HAL Airport,
00000000000000000036_0,0.03648542273400951,Banglore,01-01-2019,Dodda Bommasandra,
00000000000000000036_1,0.04313329434133085,Banglore,01-04-2019,Dodda Bommasandra,
00000000000000000036_2,0.023701268069176395,Banglore,01-07-2019,Dodda Bommasandra,
00000000000000000036_3,0.033854022361974406,Banglore,01-10-2019,Dodda Bommasandra,
00000000000000000036_4,0.03658954846020152,Banglore,01-01-2020,Dodda Bommasandra,
00000000000000000036_5,0.04071959814727092,Banglore,01-04-2020,Dodda Bommasandra,
00000000000000000036_6,0.02419463725642348,Banglore,01-07-2020,Dodda Bommasandra,
00000000000000000036_7,0.0330464396041166,Banglore,01-10-2020,Dodda Bommasandra,
00000000000000000037_0,0.03625168875399432,Banglore,01-01-2019,Kuvempu Nagar,
00000000000000000037_1,0.042933274230766885,Banglore,01-04-2019,Kuvempu Nagar,
00000000000000000037_2,0.0241276263643716,Banglore,01-07-2019,Kuvempu Nagar,
00000000000000000037_3,0.03348220554155387,Banglore,01-10-2019,Kuvempu Nagar,
00000000000000000037_4,0.03628566342834529,Banglore,01-01-2020,Kuvempu Nagar,
00000000000000000037_5,0.040646213025727095,Banglore,01-04-2020,Kuvempu Nagar,
00000000000000000037_6,0.024342566440298,Banglore,01-07-2020,Kuvempu Nagar,
00000000000000000037_7,0.032792611001063454,Banglore,01-10-2020,Kuvempu Nagar,
00000000000000000038_0,0.035423715627816627,Banglore,01-01-2019,Jakkuru,
00000000000000000038_1,0.04173410000211226,Banglore,01-04-2019,Jakkuru,
00000000000000000038_2,0.0240284907734585,Banglore,01-07-2019,Jakkuru,
00000000000000000038_3,0.033436218657254616,Banglore,01-10-2019,Jakkuru,
00000000000000000038_4,0.03538124986871888,Banglore,01-01-2020,Jakkuru,
00000000000000000038_5,0.039854814755530855,Banglore,01-04-2020,Jakkuru,
00000000000000000038_6,0.023838422999689763,Banglore,01-07-2020,Jakkuru,
00000000000000000038_7,0.03282422743186616,Banglore,01-10-2020,Jakkuru,
00000000000000000039_0,0.036013172964024724,Banglore,01-01-2019,Thanisandra,
00000000000000000039_1,0.042417048971364904,Banglore,01-04-2019,Thanisandra,
00000000000000000039_2,0.024246374992634358,Banglore,01-07-2019,Thanisandra,
00000000000000000039_3,0.034188576292340636,Banglore,01-10-2019,Thanisandra,
00000000000000000039_4,0.03621556268920637,Banglore,01-01-2020,Thanisandra,
00000000000000000039_5,0.04028822776466365,Banglore,01-04-2020,Thanisandra,
00000000000000000039_6,0.02439864818366248,Banglore,01-07-2020,Thanisandra,
00000000000000000039_7,0.033227990141499616,Banglore,01-10-2020,Thanisandra,
0000000000000000003a_0,0.03649159533584937,Banglore,01-01-2019,Byatarayanapura,
0000000000000000003a_1,0.042486571213486216,Banglore,01-04-2019,Byatarayanapura,
0000000000000000003a_2,0.023889402473201583,Banglore,01-07-2019,Byatarayanapura,
0000000000000000003a_3,0.03387475180042223,Banglore,01-10-2019,Byatarayanapura,
0000000000000000003a_4,0.036546090011235495,Banglore,01-01-2020,Byatarayanapura,
0000000000000000003a_5,0.040590430777603256,Banglore,01-04-2020,Byatarayanapura,
0000000000000000003a_6,0.02415704691818869,Banglore,01-07-2020,Byatarayanapura,
0000000000000000003a_7,0.033334764626439924,Banglore,01-10-2020,Byatarayanapura,
0000000000000000003b_0,0.03662307170252011,Banglore,01-01-2019,Kodigehalli,
0000000000000000003b_1,0.04293086554192087,Banglore,01-04-2019,Kodigehalli,
0000000000000000003b_2,0.023759834800997345,Banglore,01-07-2019,Kodigehalli,
0000000000000000003b_3,0.033938011191021564,Banglore,01-10-2019,Kodigehalli,
0000000000000000003b_4,0.036801895150487436,Banglore,01-01-2020,Kodigehalli,
0000000000000000003b_5,0.040811124036354375,Banglore,01-04-2020,Kodigehalli,
0000000000000000003b_6,0.024222756252574352,Banglore,01-07-2020,Kodigehalli,
0000000000000000003b_7,0.03330253539367386,Banglore,01-10-2020,Kodigehalli,
0000000000000000003c_0,0.03626746386916531,Banglore,01-01-2019,Vidyaranyapura,
0000000000000000003c_1,0.04248417827136964,Banglore,01-04-2019,Vidyaranyapura,
0000000000000000003c_2,0.023689316085928558,Banglore,01-07-2019,Vidyaranyapura,
0000000000000000003c_3,0.033527422601938445,Banglore,01-10-2019,Vidyaranyapura,
0000000000000000003c_4,0.03601570473224977,Banglore,01-01-2020,Vidyaranyapura,
0000000000000000003c_5,0.04050411587956504,Banglore,01-04-2020,Vidyaranyapura,
0000000000000000003c_6,0.02400781512459914,Banglore,01-07-2020,Vidyaranyapura,
0000000000000000003c_7,0.03316328949149431,Banglore,01-10-2020,Vidyaranyapura,
0000000000000000002b_0,0.03705758077347031,Banglore,01-01-2019,Hemmigepura,
0000000000000000002b_1,0.04248456033279581,Banglore,01-04-2019,Hemmigepura,
0000000000000000002b_2,0.024715432139824123,Banglore,01-07-2019,Hemmigepura,
0000000000000000002b_3,0.034720498424018836,Banglore,01-10-2019,Hemmigepura,
0000000000000000002b_4,0.03596555526772769,Banglore,01-01-2020,Hemmigepura,
0000000000000000002b_5,0.04110941305181557,Banglore,01-04-2020,Hemmigepura,
0000000000000000002b_6,0.02419042348282977,Banglore,01-07-2020,Hemmigepura,
0000000000000000002b_7,0.03351629560046799,Banglore,01-10-2020,Hemmigepura,
0000000000000000003d_0,0.03776448292061457,Banglore,01-01-2019,Ullalu,
0000000000000000003d_1,0.04390827760108695,Banglore,01-04-2019,Ullalu,
0000000000000000003d_2,0.02451150301958331,Banglore,01-07-2019,Ullalu,
0000000000000000003d_3,0.03519321952624219,Banglore,01-10-2019,Ullalu,
0000000000000000003d_4,0.03719220314836522,Banglore,01-01-2020,Ullalu,
0000000000000000003d_5,0.041634947220295586,Banglore,01-04-2020,Ullalu,
0000000000000000003d_6,0.024120464693646912,Banglore,01-07-2020,Ullalu,
0000000000000000003d_7,0.03412069796176696,Banglore,01-10-2020,Ullalu,
0000000000000000003e_0,0.03769661231580803,Banglore,01-01-2019,Kengeri,
0000000000000000003e_1,0.04324180573123411,Banglore,01-04-2019,Kengeri,
0000000000000000003e_2,0.024538972982452844,Banglore,01-07-2019,Kengeri,
0000000000000000003e_3,0.035374780149651334,Banglore,01-10-2019,Kengeri,
0000000000000000003e_4,0.03662318918295907,Banglore,01-01-2020,Kengeri,
0000000000000000003e_5,0.0412860832640924,Banglore,01-04-2020,Kengeri,
0000000000000000003e_6,0.024147719761745245,Banglore,01-07-2020,Kengeri,
0000000000000000003e_7,0.03414667639685924,Banglore,01-10-2020,Kengeri,
0000000000000000003f_0,0.03711766492561502,Banglore,01-01-2019,Dodda Bidarakallu,
0000000000000000003f_1,0.04409315342000425,Banglore,01-04-2019,Dodda Bidarakallu,
0000000000000000003f_2,0.024392385841175795,Banglore,01-07-2019,Dodda Bidarakallu,
0000000000000000003f_3,0.0343041434802715,Banglore,01-10-2019,Dodda Bidarakallu,
0000000000000000003f_4,0.036872509754713956,Banglore,01-01-2020,Dodda Bidarakallu,
0000000000000000003f_5,0.04112014864478726,Banglore,01-04-2020,Dodda Bidarakallu,
0000000000000000003f_6,0.024017838791554592,Banglore,01-07-2020,Dodda Bidarakallu,
0000000000000000003f_7,0.03324609959408177,Banglore,01-10-2020,Dodda Bidarakallu,
00000000000000000040_0,0.037656456829179126,Banglore,01-01-2019,Herohalli,
00000000000000000040_1,0.044541852983124394,Banglore,01-04-2019,Herohalli,
00000000000000000040_2,0.024421921420718428,Banglore,01-07-2019,Herohalli,
00000000000000000040_3,0.035084000170416796,Banglore,01-10-2019,Herohalli,
00000000000000000040_4,0.03727094289054772,Banglore,01-01-2020,Herohalli,
00000000000000000040_5,0.04160290720080779,Banglore,01-04-2020,Herohalli,
00000000000000000040_6,0.024317080206611778,Banglore,01-07-2020,Herohalli,
00000000000000000040_7,0.03374652752415656,Banglore,01-10-2020,Herohalli,
00000000000000000021_0,0.03778812340178402,Banglore,01-01-2019,Jnana Bharathi ward,
00000000000000000021_1,0.044188496424388574,Banglore,01-04-2019,Jnana Bharathi ward,
00000000000000000021_2,0.024429416850931925,Banglore,01-07-2019,Jnana Bharathi ward,
00000000000000000021_3,0.03505759404301755,Banglore,01-10-2019,Jnana Bharathi ward,
00000000000000000021_4,0.037107818088466,Banglore,01-01-2020,Jnana Bharathi ward,
00000000000000000021_5,0.04182506580238306,Banglore,01-04-2020,Jnana Bharathi ward,
00000000000000000021_6,0.02439490185599445,Banglore,01-07-2020,Jnana Bharathi ward,
00000000000000000021_7,0.03405291716642872,Banglore,01-10-2020,Jnana Bharathi ward,
00000000000000000041_0,0.036643260522247895,Banglore,01-01-2019,Jalahalli,
00000000000000000041_1,0.04357855623593738,Banglore,01-04-2019,Jalahalli,
00000000000000000041_2,0.024014738152498834,Banglore,01-07-2019,Jalahalli,
00000000000000000041_3,0.0340763699237063,Banglore,01-10-2019,Jalahalli,
00000000000000000041_4,0.03684282762677128,Banglore,01-01-2020,Jalahalli,
00000000000000000041_5,0.04066594060482425,Banglore,01-04-2020,Jalahalli,
00000000000000000041_6,0.024358834818347684,Banglore,01-07-2020,Jalahalli,
00000000000000000041_7,0.03293763409058449,Banglore,01-10-2020,Jalahalli,
00000000000000000042_0,0.037594904433641184,Banglore,01-01-2019,Rajarajeshwari Nagar,
00000000000000000042_1,0.043347209745453495,Banglore,01-04-2019,Rajarajeshwari Nagar,
00000000000000000042_2,0.02429200971016374,Banglore,01-07-2019,Rajarajeshwari Nagar,
00000000000000000042_3,0.03439631723622727,Banglore,01-10-2019,Rajarajeshwari Nagar,
00000000000000000042_4,0.03632122499915144,Banglore,01-01-2020,Rajarajeshwari Nagar,
00000000000000000042_5,0.04144019815859482,Banglore,01-04-2020,Rajarajeshwari Nagar,
00000000000000000042_6,0.024336134330641305,Banglore,01-07-2020,Rajarajeshwari Nagar,
00000000000000000042_7,0.03410386667815466,Banglore,01-10-2020,Rajarajeshwari Nagar,
00000000000000000043_0,0.036832163101020624,Banglore,01-01-2019,J P Park,
00000000000000000043_1,0.043791010640726886,Banglore,01-04-2019,J P Park,
00000000000000000043_2,0.02383890107735504,Banglore,01-07-2019,J P Park,
00000000000000000043_3,0.034188614961582015,Banglore,01-10-2019,J P Park,
00000000000000000043_4,0.03710383337867606,Banglore,01-01-2020,J P Park,
00000000000000000043_5,0.040942862923258876,Banglore,01-04-2020,J P Park,
00000000000000000043_6,0.024282740941100972,Banglore,01-07-2020,J P Park,
00000000000000000043_7,0.03290220814087881,Banglore,01-10-2020,J P Park,
00000000000000000044_0,0.03720215560908533,Banglore,01-01-2019,Yeshwanthpura,
00000000000000000044_1,0.04402198624521156,Banglore,01-04-2019,Yeshwanthpura,
00000000000000000044_2,0.023839605208410317,Banglore,01-07-2019,Yeshwanthpura,
00000000000000000044_3,0.033921120731984805,Banglore,01-10-2019,Yeshwanthpura,
00000000000000000044_4,0.03726850183491669,Banglore,01-01-2020,Yeshwanthpura,
00000000000000000044_5,0.04108155566327956,Banglore,01-04-2020,Yeshwanthpura,
00000000000000000044_6,0.02434187895734491,Banglore,01-07-2020,Yeshwanthpura,
00000000000000000044_7,0.03263776981870748,Banglore,01-10-2020,Yeshwanthpura,
00000000000000000045_0,0.03702586981638724,Banglore,01-01-2019,HMT Ward,
00000000000000000045_1,0.043967173454400967,Banglore,01-04-2019,HMT Ward,
00000000000000000045_2,0.024084949396399526,Banglore,01-07-2019,HMT Ward,
00000000000000000045_3,0.03440411451027658,Banglore,01-10-2019,HMT Ward,
00000000000000000045_4,0.03687149379827561,Banglore,01-01-2020,HMT Ward,
00000000000000000045_5,0.04085618677658425,Banglore,01-04-2020,HMT Ward,
00000000000000000045_6,0.024493202172372885,Banglore,01-07-2020,HMT Ward,
00000000000000000045_7,0.03313064202220329,Banglore,01-10-2020,HMT Ward,
00000000000000000046_0,0.037445982153426455,Banglore,01-01-2019,Lakshmi Devi Nagar,
00000000000000000046_1,0.04418058217727763,Banglore,01-04-2019,Lakshmi Devi Nagar,
00000000000000000046_2,0.023850507836088598,Banglore,01-07-2019,Lakshmi Devi Nagar,
00000000000000000046_3,0.03428351785567298,Banglore,01-10-2019,Lakshmi Devi Nagar,
00000000000000000046_4,0.03706952873173402,Banglore,01-01-2020,Lakshmi Devi Nagar,
00000000000000000046_5,0.04108432712646493,Banglore,01-04-2020,Lakshmi Devi Nagar,
00000000000000000046_6,0.02462135586845431,Banglore,01-07-2020,Lakshmi Devi Nagar,
00000000000000000046_7,0.033257444115236755,Banglore,01-10-2020,Lakshmi Devi Nagar,
00000000000000000047_0,0.037718280099477815,Banglore,01-01-2019,Laggere,
00000000000000000047_1,0.044387281526793596,Banglore,01-04-2019,Laggere,
00000000000000000047_2,0.023996098169722355,Banglore,01-07-2019,Laggere,
00000000000000000047_3,0.03428495055741557,Banglore,01-10-2019,Laggere,
00000000000000000047_4,0.03708631374803192,Banglore,01-01-2020,Laggere,
00000000000000000047_5,0.04125068531027222,Banglore,01-04-2020,Laggere,
00000000000000000047_6,0.024951289357380918,Banglore,01-07-2020,Laggere,
00000000000000000047_7,0.0332841979198898,Banglore,01-10-2020,Laggere,
00000000000000000048_0,0.03782246117941728,Banglore,01-01-2019,Kottegepalya,
00000000000000000048_1,0.04450327409574017,Banglore,01-04-2019,Kottegepalya,
00000000000000000048_2,0.024332660196872812,Banglore,01-07-2019,Kottegepalya,
00000000000000000048_3,0.034754743813650006,Banglore,01-10-2019,Kottegepalya,
00000000000000000048_4,0.03725399943301829,Banglore,01-01-2020,Kottegepalya,
00000000000000000048_5,0.04175457178643819,Banglore,01-04-2020,Kottegepalya,
00000000000000000048_6,0.02457662223186439,Banglore,01-07-2020,Kottegepalya,
00000000000000000048_7,0.03367355824315855,Banglore,01-10-2020,Kottegepalya,
00000000000000000049_0,0.036197766672578915,Banglore,01-01-2019,Shettihalli,
00000000000000000049_1,0.04300571158601227,Banglore,01-04-2019,Shettihalli,
00000000000000000049_2,0.02445546938161163,Banglore,01-07-2019,Shettihalli,
00000000000000000049_3,0.033770639367098496,Banglore,01-10-2019,Shettihalli,
00000000000000000049_4,0.03614212545700086,Banglore,01-01-2020,Shettihalli,
00000000000000000049_5,0.04070782265148183,Banglore,01-04-2020,Shettihalli,
00000000000000000049_6,0.024486479930393896,Banglore,01-07-2020,Shettihalli,
00000000000000000049_7,0.0331378186195443,Banglore,01-10-2020,Shettihalli,
0000000000000000004a_0,0.036275996893585155,Banglore,01-01-2019,Mallasandra,
0000000000000000004a_1,0.043190185131892,Banglore,01-04-2019,Mallasandra,
0000000000000000004a_2,0.024341362219596072,Banglore,01-07-2019,Mallasandra,
0000000000000000004a_3,0.034340013441592425,Banglore,01-10-2019,Mallasandra,
0000000000000000004a_4,0.0364170674917592,Banglore,01-01-2020,Mallasandra,
0000000000000000004a_5,0.040521225520455874,Banglore,01-04-2020,Mallasandra,
0000000000000000004a_6,0.02445730207289505,Banglore,01-07-2020,Mallasandra,
0000000000000000004a_7,0.03333626754523627,Banglore,01-10-2020,Mallasandra,
0000000000000000004b_0,0.03622723265525467,Banglore,01-01-2019,Bagalakunte,
0000000000000000004b_1,0.043112367427696294,Banglore,01-04-2019,Bagalakunte,
